TARGET,AGE,GENDER,BALANCE,OCCUPATION,HOLDING_PERIOD,ACC_TYPE,LEN_OF_RLTN_IN_MNTH,NO_OF_CREDIT_TXNS,NO_OF_DEBIT_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_LOAN,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CHQ_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN
0,54,M,3456.03,SAL,10,SA,88,13,7,1,2,0,3100,997821,3100,9595,1,1
0,49,M,5670.82,PROF,5,SA,96,2,2,0,2,0,0,31480,0,15740,1,0
0,55,M,295709.23,SAL,18,SA,136,6,5,1,2,0,17900,1214335,17900,40835,1,0
0,52,M,89630.23,PROF,9,CA,32,26,24,3,1,0,54900,2148084,18300,94570,1,1
0,25,M,19646.14,SAL,17,CA,167,35,21,2,6,0,48400,1663507,24200,119413.33,1,0
0,54,M,117148.71,SENP,25,SA,117,12,3,1,0,0,8500,574409,8500,0,1,1
0,42,M,185755.52,SENP,2,SA,133,6,5,1,2,1,2100,1755879,2100,13110,1,0
1,53,M,34474.55,SELF-EMP,1,SA,55,8,6,1,2,1,4700,1643221,4700,20905,1,0
0,22,F,658891.83,PROF,16,CA,180,6,6,1,2,0,19400,774729,19400,8500,1,0
0,21,M,991845.61,PROF,21,SA,212,2,4,0,0,0,0,1500212,0,0,0,1
0,25,M,880516.16,PROF,23,SA,221,2,3,0,0,1,0,1341289,0,0,1,0
0,41,F,285794.82,SAL,21,SA,185,14,3,0,1,0,0,909070,0,74540,1,1
0,54,M,1036410.61,SENP,15,CA,66,42,17,2,8,0,10700,1348075,5350,78163.75,1,1
0,45,M,733690.7,SENP,24,CA,50,16,2,0,0,0,0,1032046,0,0,1,0
0,31,M,9059.48,SENP,7,SA,169,6,4,0,4,1,0,45620,0,11405,1,0
1,51,M,1366564.05,PROF,13,SA,135,4,3,0,2,1,0,869630,0,40255,1,1
1,35,M,157722.82,PROF,7,CA,197,67,66,10,12,1,101300,5060439,10130,372606.67,0,0
0,40,M,277463.26,SAL,17,SA,142,8,5,1,1,0,4200,1774461,4200,0,1,1
0,30,F,588239.97,SAL,11,SA,98,7,5,1,4,0,10800,41920,10800,7780,1,1
0,30,F,140228.35,SENP,29,SA,141,2,2,1,0,0,1900,364430,1900,0,0,1
0,34,M,22196.98,SELF-EMP,11,SA,108,11,6,1,2,0,16900,1773208,16900,45915,1,1
0,36,M,17003.58,SELF-EMP,11,SA,54,2,2,0,1,1,0,191010,0,0,1,1
0,44,M,13047.59,SAL,9,CA,62,52,21,2,4,0,48100,1272614,24050,140642.5,0,1
0,40,F,884660.18,SENP,22,SA,168,7,2,1,0,0,10500,858480,10500,0,1,1
0,37,M,25232.58,PROF,7,SA,129,12,6,1,4,1,3800,1008300,3800,19305,1,1
0,46,M,274321,PROF,20,SA,140,10,5,1,2,1,17300,825116,17300,43875,1,1
0,55,M,346999.44,SAL,29,CA,79,6,1,1,0,0,3100,3100,3100,0,1,0
0,43,M,244981.44,SAL,7,SA,66,5,6,1,4,0,12200,478970,12200,10547.5,1,1
0,31,M,343646.67,PROF,25,CA,82,43,1,0,0,1,0,934960,0,0,1,0
0,33,F,432974.12,SENP,19,SA,117,15,8,1,5,0,17300,1812395,17300,121034,1,1
1,53,M,459113.32,SAL,16,SA,110,16,15,2,6,1,45500,643170,22750,24983.33,1,1
0,49,M,149802.74,PROF,21,SA,183,14,2,1,0,0,800,505450,800,0,1,1
0,53,M,656560.01,SELF-EMP,17,SA,93,6,5,1,4,0,5300,36650,5300,7837.5,1,0
0,51,M,35472.44,PROF,7,SA,32,10,5,1,1,1,10600,1037653,10600,0,1,1
0,41,M,5359.8,SAL,31,SA,163,7,1,0,0,0,0,597086,0,0,1,0
0,25,F,65352.69,SENP,4,SA,82,2,2,0,1,0,0,249050,0,0,1,0
0,36,M,41500.57,SAL,2,SA,217,18,14,2,4,0,5200,1309915,2600,4232.5,1,1
0,26,M,1156848.47,SAL,13,SA,181,6,5,1,1,0,12000,725591,12000,0,1,0
0,43,M,53809.93,PROF,13,SA,148,5,4,0,3,0,0,961460,0,18020,1,0
0,26,M,9614.33,SAL,24,SA,135,4,3,0,0,0,0,555071,0,0,1,1
0,45,M,1316110.16,PROF,22,SA,106,3,1,1,0,0,3300,3300,3300,0,1,0
0,21,F,1585087.83,SENP,4,SA,63,3,2,0,2,0,0,47970,0,23985,1,1
1,53,F,5677834.48,SENP,4,SA,46,2,5,1,1,0,17500,919627,17500,0,1,1
0,24,F,1583866.05,SENP,6,SA,40,12,6,1,2,1,12100,1250949,12100,38475,1,0
0,30,M,62991.56,PROF,1,SA,179,6,5,1,2,0,7900,697308,7900,26170,0,1
0,24,F,537015.73,SENP,4,SA,61,0,0,0,0,0,0,0,0,0,0,1
0,36,M,696353.59,SELF-EMP,14,SA,174,14,7,1,2,0,17400,1231134,17400,8105,1,0
0,38,M,104992.52,SAL,14,SA,68,2,1,0,0,0,0,352290,0,0,1,0
0,37,M,57179.94,SAL,9,SA,183,7,6,1,2,1,13400,1227709,13400,7200,1,1
0,47,F,793332.01,PROF,9,SA,110,12,6,1,4,0,3300,256820,3300,3800,0,1
0,27,M,37633.41,SAL,26,SA,182,4,1,0,0,0,0,736500,0,0,1,1
0,25,M,486469.59,PROF,9,SA,208,14,8,1,4,0,2800,1438661,2800,7225,1,0
0,26,M,233733.91,SENP,16,SA,98,10,6,1,1,0,2100,1041794,2100,0,1,0
0,38,M,457782.18,SENP,18,SA,167,10,6,1,4,0,19800,786090,19800,8357.5,0,1
0,52,M,650244.39,SENP,17,CA,210,43,17,2,5,0,21300,790683,10650,7048,1,1
1,46,M,483701.66,PROF,11,SA,130,8,5,1,4,0,14200,25680,14200,2870,1,1
0,30,M,439710.96,SELF-EMP,24,SA,107,4,4,1,1,0,7900,274390,7900,13440,1,0
1,26,M,112159.38,PROF,23,CA,94,70,4,2,0,0,3200,454630,1600,0,1,1
0,54,M,70876.64,SAL,5,SA,193,6,6,1,4,0,1500,706050,1500,16395,0,1
0,31,M,73645.31,SAL,9,SA,81,8,6,1,2,1,5200,1198605,5200,36880,1,1
0,47,M,330397.16,SAL,16,SA,95,15,8,1,4,1,3800,883842,3800,6795,1,1
0,31,M,105693.29,SAL,18,SA,52,8,6,1,1,0,800,1635497,800,0,1,1
0,38,M,62815.32,SAL,2,SA,213,8,5,1,2,0,5200,1182540,5200,27675,1,0
0,30,M,169074.25,SENP,1,CA,177,14,17,2,8,0,10400,722288,5200,10983.75,1,1
0,45,M,1288216.38,SENP,23,SA,40,14,1,0,0,1,0,223340,0,0,1,0
0,26,M,198322.27,PROF,20,SA,78,8,5,1,4,1,8800,106860,8800,24515,1,1
0,42,M,1632079,SAL,27,SA,173,20,1,1,0,0,6000,6000,6000,0,1,0
0,33,F,1050241.35,SENP,19,SA,164,17,14,2,5,1,9900,1103643,4950,52310,1,1
0,36,M,1419961.51,SELF-EMP,4,SA,100,6,4,0,3,0,0,392040,0,5356.67,1,0
0,26,F,477578.65,SELF-EMP,15,SA,52,0,0,0,0,0,0,0,0,0,1,1
0,38,F,3120315.7,SENP,22,SA,150,4,4,1,0,0,3400,324056,3400,0,1,1
0,38,M,216124.48,SAL,18,SA,103,12,6,1,2,0,100,542310,100,41200,0,0
0,36,F,21600.79,SENP,10,SA,88,10,5,1,1,1,7800,349823,7800,0,0,0
0,30,F,1024526.91,PROF,28,CA,173,23,3,0,0,0,0,841420,0,0,0,1
0,42,F,13158.14,SELF-EMP,15,SA,88,18,14,2,1,1,35400,782073,17700,51490,1,1
0,34,M,101598.65,SAL,11,SA,115,20,14,2,7,0,2200,578105,1100,49550,0,1
0,30,F,140228.35,SENP,29,SA,141,2,2,1,0,0,1900,364430,1900,0,0,1
1,43,M,44297.92,SENP,3,SA,182,6,6,1,4,1,15700,374279,15700,16572.25,1,1
0,25,M,1610175.31,PROF,9,SA,88,7,7,1,4,1,14800,261260,14800,4897.5,0,1
0,34,M,935489.18,SAL,19,SA,119,12,6,1,4,0,10600,862290,10600,3647.5,1,0
0,46,F,1200478.93,PROF,19,SA,30,5,4,0,2,0,0,241710,0,5730,0,1
0,51,M,19701.96,SAL,2,SA,142,16,15,2,0,0,1000,1008642,500,0,1,0
0,51,M,622546.52,SENP,11,SA,75,8,6,1,4,1,400,472270,400,18622.5,1,0
0,43,F,3675.21,PROF,7,SA,132,7,6,1,2,0,2600,1257388,2600,45930,1,0
0,53,M,83666.06,SENP,17,SA,90,8,5,1,4,0,18500,97320,18500,19705,1,1
0,39,M,9896.37,PROF,13,SA,197,12,6,1,4,1,16000,748320,16000,3980,1,0
0,28,M,68850.71,PROF,21,CA,203,53,1,1,0,0,7600,7600,7600,0,1,1
1,33,F,135892.63,SELF-EMP,19,CA,68,12,14,2,6,1,29900,1595168,14950,71728.33,1,0
0,33,F,537597.88,PROF,3,SA,91,8,6,1,4,0,9100,490063,9100,9972.5,1,0
0,38,M,1453391.57,SELF-EMP,6,SA,46,16,15,2,1,0,37300,594302,18650,10180,1,0
0,38,M,74551,PROF,14,SA,145,3,2,0,2,0,0,42160,0,21080,1,1
0,46,M,509072.22,SAL,17,SA,217,0,0,0,0,1,0,0,0,0,1,0
0,48,M,140053.3,PROF,9,SA,92,4,3,0,3,1,0,37300,0,12433.33,1,0
1,51,M,331342.55,PROF,21,SA,154,2,1,0,0,0,0,453300,0,0,0,1
0,30,M,108329.5,PROF,26,SA,179,5,2,1,0,0,2000,625220,2000,0,1,0
0,31,F,2220539.23,SENP,5,SA,54,6,5,1,2,0,19800,1357752,19800,23560,1,1
0,28,M,39460.86,SAL,23,SA,210,5,4,0,0,0,0,139690,0,0,1,1
0,43,O,71464,PROF,24,CA,75,11,3,1,0,0,5300,1040159,5300,0,0,0
0,32,F,34186.57,SAL,19,CA,171,72,2,2,0,0,10900,10900,5450,0,1,0
1,29,M,9540.22,SAL,12,SA,40,11,5,1,1,1,14400,1078550,14400,0,0,1
1,37,M,5105.86,PROF,3,CA,112,44,18,2,7,0,43000,1378124,21500,29251.43,1,0
0,41,O,333614.56,SAL,25,CA,113,39,3,0,0,0,0,78540,0,0,1,0
0,41,F,471464.76,SENP,1,SA,117,12,6,1,1,0,2400,1354077,2400,0,1,0
0,34,M,192849.23,SENP,24,CA,52,5,1,0,1,1,0,58980,0,58980,1,0
0,30,F,91173.94,SENP,13,SA,126,8,5,1,2,1,5200,1107391,5200,15375,1,0
0,39,F,126187.08,SENP,9,SA,172,14,7,1,5,0,13100,882334,13100,86730,1,1
0,51,F,45176.34,SENP,17,CA,163,16,21,2,11,0,42700,4811843,21350,319270,1,1
0,41,M,119614.79,SAL,1,SA,205,8,5,1,2,0,2900,927336,2900,45410,1,0
0,54,F,2261024.19,PROF,7,SA,135,0,0,0,0,0,0,0,0,0,0,0
0,43,M,34835.8,SAL,14,SA,125,16,15,2,0,0,22300,2060632,11150,0,0,0
1,39,M,41132.13,SENP,5,CA,47,16,21,2,2,0,16500,1715706.8,8250,30455,1,1
0,54,M,338750.85,SENP,5,SA,168,6,5,1,2,0,9900,1703138,9900,19470,1,1
0,27,M,3383.75,SELF-EMP,30,SA,146,7,3,1,0,0,13100,986657,13100,0,1,1
0,37,M,284525.26,PROF,9,CA,101,25,32,4,11,0,44700,1298882,11175,9997.27,1,1
0,55,M,447506.49,SENP,6,SA,60,10,6,1,4,1,18700,200370,18700,8087.5,1,1
0,35,F,264336.77,SELF-EMP,6,SA,161,6,5,1,2,0,7900,936110,7900,47155,1,1
0,43,M,117851.26,SENP,26,SA,70,4,1,0,1,0,0,67070,0,67070,1,0
0,34,M,1956836.06,SAL,3,SA,80,7,5,1,1,0,5400,1062871,5400,0,1,1
0,53,M,1132.4,SAL,15,SA,127,6,5,1,2,1,1800,686135,1800,31265,1,0
0,31,M,151899.92,SAL,11,SA,85,10,5,1,2,1,11600,415273,11600,24855,1,1
0,46,F,564714.49,PROF,30,SA,82,9,1,0,0,0,0,475608,0,0,0,0
0,54,F,769769.14,SENP,19,SA,218,12,6,1,4,1,14300,1019250,14300,24757.5,1,0
0,29,M,252605.05,SAL,23,SA,49,5,3,1,0,0,13800,624310,13800,0,1,1
0,52,M,752061.61,SENP,4,SA,176,11,6,1,2,0,10700,1716962,10700,28620,0,1
0,30,M,43525.62,SELF-EMP,15,SA,108,5,4,0,2,0,0,980060,0,14635,1,1
0,53,M,39782.52,SAL,20,SA,54,14,6,1,2,0,15900,1213016,15900,18565,1,0
0,37,F,168577.09,SENP,13,SA,108,17,14,2,2,0,42800,1140246,21400,44605,1,0
0,40,M,2332280.82,SELF-EMP,16,SA,211,5,6,1,4,1,1200,821972,1200,18620,1,0
0,52,M,377068.94,SENP,20,SA,98,0,0,0,0,0,0,0,0,0,0,1
0,40,F,465626.02,SENP,28,CA,39,0,2,0,0,0,0,782828,0,0,1,1
0,52,M,1939852.17,PROF,15,SA,137,11,6,1,4,0,5500,934114,5500,8980,1,1
0,50,M,62012.73,SAL,16,CA,36,48,19,2,2,0,44200,1322909,22100,27305,1,1
1,52,M,20212.04,SAL,7,CA,67,6,3,0,1,0,0,720330,0,0,1,0
0,22,F,494972.98,SENP,8,SA,126,12,6,1,2,1,18700,1916641,18700,23030,1,0
0,33,M,398728.31,PROF,18,CA,142,18,2,1,0,0,6400,932620,6400,0,1,0
0,25,M,159501.24,SAL,13,SA,159,9,5,1,1,1,9500,1013812,9500,0,1,1
0,38,M,576881.89,SAL,26,SA,60,5,2,0,0,0,0,599270,0,0,1,1
0,26,M,347396.41,SENP,20,CA,122,7,7,1,4,1,13500,714338,13500,3812.5,1,0
0,55,M,28396.92,PROF,7,SA,116,12,6,1,2,0,12600,1151094,12600,20135,0,0
0,30,M,40244.29,SENP,23,CA,185,9,1,0,0,0,0,73660,0,0,1,1
0,45,M,857734.21,SENP,9,SA,68,10,5,1,2,0,7300,1167400,7300,16630,1,1
0,25,M,609430.56,SENP,17,SA,158,8,6,1,4,1,19200,363710,19200,24042.5,1,0
0,39,M,83750.01,SAL,31,SA,97,6,1,0,1,0,0,61850,0,61850,1,0
0,35,M,352772.59,SENP,9,SA,110,6,4,0,2,1,0,773770,0,28610,1,0
0,25,M,98779.38,PROF,21,SA,146,12,3,2,0,0,2200,138278,1100,0,1,0
0,29,M,8552.24,SELF-EMP,29,SA,221,15,2,0,0,0,0,200250,0,0,1,0
0,28,M,759731.77,PROF,1,CA,218,38,15,2,4,0,43900,1938995,21950,16970,1,0
0,36,M,43858.22,PROF,9,SA,58,0,0,0,0,1,0,0,0,0,0,1
0,40,F,488649.56,SELF-EMP,22,SA,83,10,3,0,1,0,0,803640,0,26420,1,0
0,33,F,649838.36,PROF,6,SA,53,5,5,1,4,1,9800,63020,9800,13305,0,0
0,45,M,23049.75,SAL,8,SA,124,0,0,0,0,1,0,0,0,0,1,1
0,43,F,1630114.33,SENP,23,SA,100,6,1,0,1,0,0,96380,0,96380,1,1
0,45,F,1879959.61,PROF,4,CA,75,12,14,2,4,0,31900,714868,15950,51927.5,1,0
0,30,M,561847.1,SAL,12,SA,191,20,16,2,6,0,15800,1047508,7900,157351.67,1,0
0,25,M,871116.08,SAL,9,SA,80,6,5,1,1,0,3800,560116,3800,0,1,1
0,55,F,131587.16,SENP,30,SA,153,9,2,0,1,1,0,159496,0,20680,1,1
1,37,M,25570.39,SELF-EMP,18,SA,40,2,2,0,2,0,0,17500,0,8750,1,0
0,33,M,2117513.27,PROF,27,SA,63,2,1,0,0,0,0,94310,0,0,1,1
0,43,M,5202.06,SENP,22,SA,214,18,1,0,0,0,0,981980,0,0,1,1
0,21,M,941940.75,SENP,23,SA,171,16,1,1,0,0,900,900,900,0,1,1
0,53,M,150381.54,SAL,28,CA,173,11,4,0,0,1,0,144180,0,0,1,1
0,38,M,493387.3,PROF,8,CA,82,42,17,2,8,0,22100,1188190,11050,65098.75,1,1
0,54,M,416326.31,PROF,10,SA,89,2,2,0,1,0,0,225870,0,0,1,1
0,36,M,461941.66,PROF,9,SA,112,13,7,1,4,0,10400,976410,10400,5180,1,1
0,24,M,742925.12,SAL,1,SA,203,14,7,1,4,0,6100,1377316,6100,20292.5,1,0
0,33,M,10233.71,SAL,10,SA,31,4,5,1,1,1,11000,713922,11000,0,1,1
0,46,M,36084.91,PROF,31,CA,106,28,2,2,0,1,34700,34700,17350,0,1,0
0,37,F,161870.61,SELF-EMP,12,SA,159,10,5,1,2,0,16400,1322998,16400,7745,1,1
0,42,M,71007.43,PROF,19,SA,47,14,6,1,4,1,4400,318284,4400,4840,1,1
0,27,F,179431.1,SENP,4,SA,120,4,3,0,2,0,0,734720,0,29315,1,1
0,39,M,107492.82,SAL,21,SA,167,0,4,3,0,0,4500,219834,1500,0,0,1
0,37,F,181424.17,PROF,15,SA,82,10,5,1,2,0,7300,832063,7300,28250,1,1
0,53,F,63349.57,PROF,22,SA,76,2,3,1,0,0,300,1397175,300,0,1,1
0,26,F,319189.23,SENP,1,SA,168,8,6,1,4,0,1800,821997,1800,6582.5,1,1
0,44,M,107167.71,PROF,8,SA,157,19,15,2,5,1,13300,1554212,6650,72904,1,0
0,29,F,777039.54,SENP,18,CA,111,16,21,2,4,0,16300,1896485,8150,202062.5,1,0
0,51,M,4250.83,SELF-EMP,1,SA,86,0,0,0,0,1,0,0,0,0,1,0
0,34,F,1357027.91,SENP,27,SA,157,13,2,1,0,0,8900,880290,8900,0,0,0
0,45,F,1629312.06,PROF,14,SA,163,2,1,0,1,0,0,18730,0,18730,1,1
0,32,M,104691.34,SENP,29,SA,34,14,1,1,0,0,2200,2200,2200,0,1,1
0,34,M,235170.8,SAL,24,CA,126,55,2,0,0,0,0,479520,0,0,1,1
0,26,M,1136890.47,SENP,21,SA,55,16,1,1,0,0,7000,7000,7000,0,0,1
0,30,M,1881003.87,PROF,24,SA,163,11,4,1,0,0,13400,397760,13400,0,0,1
0,45,M,2913.86,SENP,25,SA,127,11,2,1,0,1,18700,738860,18700,0,1,0
0,34,M,562518.87,SENP,31,CA,74,28,4,1,0,0,10500,815338,10500,0,1,1
0,23,M,425436.63,SENP,22,SA,75,11,2,1,0,0,4400,57026,4400,0,1,1
0,28,M,1235167.02,SENP,26,CA,108,60,2,1,0,0,8200,452971,8200,0,1,1
0,52,M,320090.1,PROF,26,SA,182,16,1,1,0,0,15600,15600,15600,0,1,1
0,29,M,286792.09,SELF-EMP,4,SA,176,2,2,0,2,0,0,57040,0,28520,1,0
0,49,M,16238.21,SELF-EMP,12,SA,179,13,7,1,1,0,2600,985327,2600,0,1,0
0,50,M,49390.93,PROF,10,CA,94,63,62,10,9,0,54400,2545761,5440,188481.11,1,0
0,55,M,4955.65,SAL,18,SA,106,5,4,0,3,0,0,899890,0,29613.33,0,0
0,26,M,727073.95,PROF,9,SA,141,6,5,1,4,0,11200,100570,11200,22342.5,1,0
0,38,M,187627.27,SELF-EMP,5,SA,181,4,3,0,2,0,0,503400,0,15470,1,1
1,38,F,6073.04,SAL,5,CA,194,23,30,3,13,1,10000,1864346,3333.33,91338.46,1,1
0,53,F,1965093.55,SENP,22,SA,187,11,2,0,0,0,0,256900,0,0,1,1
0,41,M,31069.98,SAL,22,SA,157,6,4,2,1,1,3800,273210,1900,98120,1,1
0,40,M,704438.51,PROF,8,SA,178,17,14,2,4,1,21400,1261352,10700,24430,1,0
0,38,M,457782.18,SENP,18,SA,167,10,6,1,4,0,19800,786090,19800,8357.5,0,1
0,42,M,60083.32,SELF-EMP,13,SA,89,2,2,0,2,0,0,45560,0,22780,1,0
0,32,M,58059.04,PROF,20,SA,120,7,7,1,5,0,500,1121348,500,168606,1,0
0,35,M,108144.88,SAL,11,SA,63,9,5,1,2,0,500,1346270,500,38765,0,0
0,55,F,15830.44,PROF,25,SA,170,9,4,1,0,0,3400,1020344,3400,0,1,1
0,41,M,309275.47,SAL,10,SA,106,3,2,0,1,0,0,183630,0,0,1,0
0,27,M,1215924.23,SAL,24,SA,54,2,1,0,0,0,0,930120,0,0,1,0
1,26,M,2088937.85,SAL,17,CA,81,28,4,0,0,0,0,966209,0,0,1,1
1,52,M,1413177.5,PROF,15,CA,125,59,3,1,1,1,400,436290,400,67710,1,0
0,48,M,484964.02,SENP,13,SA,105,16,15,2,7,0,40100,1468002,20050,66618.57,1,0
0,44,M,107729.01,SELF-EMP,18,SA,220,7,7,1,2,1,19800,887556,19800,5960,1,1
0,30,M,262104.45,SAL,26,SA,159,6,1,0,0,0,0,478981,0,0,1,0
0,27,M,244434.44,PROF,16,SA,76,4,3,0,2,1,0,1050390,0,25700,0,0
0,39,M,187084.44,SENP,11,SA,196,2,1,0,0,1,0,183800,0,0,1,1
1,43,M,255854.86,SENP,1,SA,100,11,5,1,2,1,2600,1081233,2600,31950,1,0
0,55,M,947169.89,SAL,4,SA,34,11,8,1,4,0,1300,475140,1300,4940,1,0
0,52,F,30607.53,SAL,19,SA,196,11,5,1,2,0,17200,663429,17200,39020,1,1
1,49,M,139713.71,SAL,2,SA,202,8,6,1,4,0,1400,507130,1400,6272.5,0,0
0,30,M,282660.03,SAL,20,SA,29,10,5,1,2,0,14700,1883776,14700,48585,1,1
0,39,M,1483563.55,SENP,22,SA,166,7,2,0,0,0,0,486770,0,0,1,0
0,25,F,605124.61,PROF,18,SA,170,9,5,1,2,0,3900,1046885,3900,10280,0,0
0,41,M,1691662.82,PROF,14,SA,177,8,5,1,2,0,15300,891309,15300,34015,1,1
0,41,M,562538.5,SENP,6,SA,100,19,15,2,4,0,17200,525008,8600,4542.5,1,0
0,51,M,889231.94,SAL,5,SA,129,14,8,1,2,0,10300,1830061,10300,30255,1,0
0,51,M,468523.69,SAL,14,SA,96,8,6,1,4,0,11600,462260,11600,8852.5,1,1
0,44,M,186388.37,SENP,22,SA,173,4,3,0,0,0,0,941068,0,0,1,1
0,47,F,297327.04,SELF-EMP,22,SA,137,3,3,0,0,1,0,452540,0,0,1,0
0,44,M,1592362.4,PROF,9,CA,206,17,22,2,9,0,40500,6231169,20250,489784.44,1,1
0,55,M,931448.34,PROF,9,CA,105,57,23,3,1,1,42800,1581049,14266.67,47850,1,1
0,22,M,546442.99,SENP,14,SA,55,4,3,0,2,0,0,902980,0,12985,0,1
0,39,F,483302.19,SENP,9,SA,84,10,5,1,4,0,13900,107130,13900,23307.5,1,0
0,30,M,9833.53,SENP,20,SA,128,6,4,0,3,1,0,470110,0,28560,1,0
0,27,M,6039.88,SENP,18,SA,209,11,10,1,3,0,5900,484607,5900,0,1,0
0,34,F,163029.86,SENP,7,SA,120,9,5,1,1,0,2400,449224,2400,0,1,0
0,29,M,224505.14,SAL,17,SA,174,6,6,1,4,0,400,496660,400,16492.5,1,0
1,53,M,47333.77,SAL,11,SA,90,2,4,2,1,1,0,755780,0,0,1,1
0,26,M,446320.23,PROF,24,SA,192,8,2,0,1,0,0,783040,0,63160,1,1
0,25,M,1774661.62,SENP,3,SA,184,11,10,1,5,0,10700,628946,10700,16164,1,0
0,26,M,591500.02,PROF,22,CA,80,21,1,0,0,0,0,170270,0,0,0,0
0,31,F,985784.58,SENP,10,SA,90,7,5,1,2,0,1600,1206089,1600,16170,1,1
0,25,M,686921.78,PROF,11,SA,159,5,6,1,4,1,3400,325920,3400,8932.5,1,1
0,37,F,709623.91,SELF-EMP,20,SA,41,14,7,1,1,0,3900,370865,3900,0,1,1
0,39,M,187084.44,SENP,11,SA,196,2,1,0,0,1,0,183800,0,0,1,1
1,47,M,164832.03,SELF-EMP,10,SA,94,5,5,1,1,0,17000,449400,17000,0,1,1
0,26,M,2140312.39,PROF,9,SA,84,6,5,1,2,1,15600,1165222,15600,16070,1,1
0,23,M,292790.09,SENP,21,CA,205,29,2,1,0,0,12300,917140,12300,0,1,0
0,43,M,196635.59,PROF,4,SA,209,5,6,1,2,0,4900,874160,4900,23650,1,0
1,44,M,14824.63,SELF-EMP,9,CA,217,57,23,3,1,1,61800,1720930,20600,69630,1,0
