sub,Gender,race,ses,sctyp,hsp,locus,concpt,mot,car,rdg,wrtg,math,sci,civ
26,Female,Black,Medium,Public,College Prep,1.12,-.74,.67,15,31,41.1,36,36.9,45.6
27,Female,Black,High,Public,Standard,.46,.59,1,16,52.1,62.5,53.6,56.3,65.5
28,Female,Black,Medium,Public,Standard,-.6,-.47,.67,9,46.9,54.1,49,52.6,60.5
29,Female,Black,Medium,Public,College Prep,-.9,.03,.67,4,36.3,44.3,36.1,33.6,40.6
30,Female,Black,Medium,Public,College Prep,.31,1.19,1,9,46.9,44.3,41.9,39,50.6
31,Male,Black,Medium,Public,College Prep,-.21,-1.38,0,9,34.2,46.3,44.5,39,35.6
32,Female,Black,Medium,Public,College Prep,.69,.34,1,9,52.1,56.7,53.4,60.7,45.6
33,Female,Black,Medium,Public,Standard,-.19,-1.67,0,13,42.1,39.8,42.2,38.5,40.6
34,Male,Black,Medium,Public,Technical/Vocational,-1.78,.56,.33,8,37.3,43.7,45.4,39,45.6
35,Male,Black,Medium,Public,Technical/Vocational,.3,.56,1,16,44.2,33.3,37.7,30.9,41.9
36,Male,Black,Medium,Public,College Prep,1.36,.44,.67,9,70.7,58,65.4,63.4,60.5
37,Female,Black,Medium,Public,Technical/Vocational,-1.05,-1.65,0,9,46.9,46.3,38.6,47.1,60.5
38,Male,Black,Medium,Public,Technical/Vocational,.29,.39,.33,7,41.6,33.3,37.6,28.2,45.6
39,Male,Black,Medium,Public,College Prep,-.83,.13,1,9,41.6,35.9,36.7,36.3,55.6
40,Male,Black,High,Public,College Prep,.21,-.28,.67,12,46.9,41.1,53.6,41.7,55.6
41,Male,Black,High,Public,College Prep,-.03,.63,.67,9,52.1,54.1,48.2,55.3,60.5
42,Male,Black,Medium,Public,College Prep,.03,.28,.33,8,52.1,54.1,52,55.3,50.6
43,Male,Black,High,Public,Technical/Vocational,-.83,1.19,.67,9,38.9,38.5,44.4,26,41.9
44,Female,Black,Low,Public,Technical/Vocational,.22,-.76,1,15,31,41.1,49.2,33.6,35.6
45,Male,Black,High,Public,College Prep,1.16,.32,1,9,60.1,54.1,48.6,58,30.6
46,Male,Black,Low,Public,Technical/Vocational,-.22,-1.34,.67,16,46.9,31.3,43.6,36.3,35.6
47,Male,Black,Low,Public,Standard,-.18,.15,0,15,38.9,28.1,36,36.3,35.6
48,Female,Black,High,Public,Technical/Vocational,.02,.03,.33,4,41.6,35.9,37.7,41.7,45.6
49,Female,Black,Medium,Public,College Prep,-1.06,.03,.67,6,46.9,56.7,48,44.4,40.6
50,Male,Black,Medium,Public,Standard,-1.33,.03,1,9,41.6,48.9,33.7,44.4,45.6
51,Male,Black,Low,Public,Technical/Vocational,-1.55,.03,0,9,36.3,41.1,43.5,33.6,40.6
52,Male,Black,Medium,Public,Technical/Vocational,-1.58,.56,.67,2,49.5,33.3,48.7,44.4,35.6
53,Female,Black,High,Public,Technical/Vocational,.47,-.09,.33,9,33.6,33.9,38.8,39.6,30.6
54,Male,Black,High,Public,Technical/Vocational,.46,.03,.67,9,54.8,54.7,56.9,58,40.6
55,Female,Black,Low,Public,Standard,-1.78,.56,1,9,28.3,46.3,42.8,44.4,50.6
56,Male,Black,Low,Public,College Prep,-.84,-1.09,.33,2,41.6,41.7,45.1,36.3,40.6
57,Female,Black,Medium,Public,Standard,-.89,-.18,.67,10,44.2,43.7,44.5,41.7,50.6
58,Male,Black,High,Public,College Prep,-.68,-.26,0,2,60.1,51.5,56.8,60.7,60.5
59,Female,Black,Low,Public,Technical/Vocational,-.6,.32,1,1,38.9,56.7,41.2,33.6,55.6
60,Male,Black,Medium,Public,Technical/Vocational,-.59,1.19,.67,6,36.3,36.5,35.1,33.6,35.6
61,Male,Black,Medium,Public,Standard,-.04,.65,1,16,44.2,44.3,61.1,49.8,45.6
62,Female,Black,Low,Public,Standard,.52,-.28,.67,9,38.9,41.7,33.7,30.9,50.6
63,Female,Black,Low,Public,Standard,-.34,.59,1,7,38.9,33.9,35.1,44.4,40.6
64,Male,Black,Medium,Public,Technical/Vocational,-.44,.03,.33,9,41.6,38.5,38.7,56.3,45.6
65,Male,Black,Medium,Public,Technical/Vocational,-.21,.03,1,6,41.6,43.7,51.1,49.8,40.6
66,Female,Other,High,Public,College Prep,.32,-1.17,.33,9,52.1,54.1,58.1,47.1,60.5
67,Female,Other,Low,Public,College Prep,-.71,-2.29,.33,9,65.4,64.5,63.7,58,70.5
68,Male,Other,Low,Public,Standard,.45,.03,.67,2,41.6,25.5,44.3,36.3,35.6
69,Male,Other,Low,Public,Standard,.71,.03,1,10,46.9,61.9,46.2,60.7,45.6
70,Male,Other,Medium,Public,College Prep,.06,.44,.67,9,52.1,61.9,66.3,47.1,45.6
71,Female,Other,Medium,Public,Technical/Vocational,.06,.28,1,1,44.2,54.1,47.1,58,50.6
72,Male,Other,High,Public,College Prep,.91,.34,1,10,52.1,54.1,58.1,55.8,50.6
73,Female,Other,Medium,Public,Standard,-1.09,.03,.33,2,46.9,43.7,41.9,41.7,35.6
74,Female,Other,High,Public,College Prep,.02,.03,.67,10,65.4,56.7,62.3,58.5,55.6
75,Male,Other,High,Private,College Prep,-1.05,.28,.67,9,62.7,64.5,66.3,58,60.5
76,Female,Other,High,Public,College Prep,.11,-1.42,1,16,60.1,59.3,62.1,60.7,50.6
77,Male,Other,Medium,Public,Technical/Vocational,.89,.32,.67,10,46.9,44.3,48.7,53.1,55.6
78,Male,Other,Low,Public,Technical/Vocational,-.45,-.64,.33,9,65.4,56.7,55.2,52.6,55.6
79,Male,Other,Medium,Public,College Prep,.46,-.3,1,10,53.2,60.6,61.2,56.9,55.6
80,Female,Other,Medium,Public,College Prep,.46,-1.17,0,9,68,62.5,65.4,60.7,60.5
81,Female,Other,High,Public,College Prep,.28,.94,1,10,54.8,56,43.5,49.8,50.6
82,Female,Other,Medium,Public,Standard,.06,.9,.67,9,38.9,52.8,54.4,49.8,40.6
83,Male,Other,Medium,Public,College Prep,.06,.94,1,7,52.1,51.5,57.9,60.7,35.6
84,Male,Other,High,Public,College Prep,-.17,.31,1,10,65.4,67.1,75.5,71.5,70.5
85,Male,Other,Low,Public,Standard,-.38,.03,0,2,52.1,43.7,49.4,55.3,40.6
86,Female,Other,High,Public,College Prep,.23,-.6,1,10,57.4,67.1,68,59.1,65.5
87,Male,Other,Medium,Public,College Prep,1.36,.59,1,10,62.7,67.1,69.6,68.8,55.6
88,Female,Other,High,Public,College Prep,-.39,1.19,1,9,40.5,59.3,41.9,33.6,50.6
89,Male,Other,Medium,Public,Standard,-1.28,-1.05,.33,9,57.4,43.7,57.8,60.7,45.6
90,Female,Other,Low,Public,Technical/Vocational,-.65,-1.17,0,8,36.3,30.7,45.9,36.3,40.6
91,Female,Other,Medium,Private,Standard,-.4,-.47,1,10,54.8,59.3,51.8,41.7,55.6
92,Female,Other,High,Public,Technical/Vocational,.06,-.29,.67,1,49.5,56.7,68.1,49.8,55.6
93,Female,Other,Medium,Public,College Prep,.55,.9,1,9,62.7,61.9,59.6,60.7,65.5
94,Female,Other,High,Public,Technical/Vocational,-.35,-.89,0,1,49.5,67.1,66.4,66.1,55.6
95,Female,Other,Medium,Public,College Prep,.3,-1.09,0,9,51.1,56.7,55.3,47.7,56.8
96,Female,Other,Low,Public,Technical/Vocational,-.93,.65,1,5,47.4,45.6,49.4,42.3,45.6
97,Female,Other,Low,Public,College Prep,1.16,-.72,.67,10,56.9,64.5,72.2,54.2,55.6
98,Male,Other,High,Public,College Prep,0,.15,.33,10,73.3,64.5,75.5,60.7,50.6
99,Male,Other,Medium,Public,College Prep,.52,.34,1,9,52.1,54.1,51.4,49.8,50.6
100,Female,Black,High,Private,College Prep,.42,-.47,.33,10,73.3,61.2,57.4,54.7,65.5
101,Male,Black,Medium,Private,Standard,-.67,-.47,0,8,44.2,48.9,43.1,55.3,45.6
102,Female,Black,High,Private,College Prep,.45,.65,1,9,57.4,56.7,46.9,52.6,55.6
103,Female,Black,Low,Private,Standard,.06,.32,0,15,60.1,54.1,49.9,49.8,50.6
104,Male,Black,Medium,Private,College Prep,.26,.88,1,9,65.4,59.3,62.3,60.7,65.5
105,Female,Black,High,Private,College Prep,.46,.34,1,9,57.4,54.1,59.6,60.7,70.5
106,Female,Hispanic,Low,Public,Standard,-.89,-1.23,1,10,44.2,48.9,43.8,35.2,50.6
107,Female,Hispanic,Medium,Public,Technical/Vocational,.57,-2.62,0,11,38.9,28.1,38.4,44.4,35.6
108,Female,Hispanic,High,Public,Technical/Vocational,.26,.94,0,17,54.8,38.5,46.8,36.3,45.6
109,Female,Hispanic,Low,Public,Technical/Vocational,.31,1.19,1,1,40.5,46.9,40.4,39,50.6
110,Male,Hispanic,Low,Public,Technical/Vocational,.93,-1.63,.67,8,38.9,41.1,40.3,34.1,45.6
111,Male,Hispanic,High,Public,College Prep,.68,.94,1,9,62.7,52.1,66.1,68.8,50.6
112,Male,Hispanic,Low,Public,College Prep,.03,.32,1,6,44.7,56.7,50.3,30.9,55.6
113,Male,Hispanic,High,Public,College Prep,-.03,.87,1,7,53.2,46.3,43,41.7,50.6
114,Male,Hispanic,Medium,Public,College Prep,.24,-.35,1,8,30.5,35.9,36.9,33.6,40.6
115,Female,Hispanic,High,Public,College Prep,1.14,1.19,1,9,65.9,67.1,67.1,60.7,65.5
116,Female,Hispanic,Medium,Public,College Prep,.27,.34,1,7,49.5,48.9,48,41.7,60.5
117,Female,Hispanic,Low,Public,Technical/Vocational,-1.34,1.19,1,9,44.2,41.1,44.2,44.4,40.6
118,Male,Hispanic,Low,Public,Standard,.45,-.91,.33,2,41.6,41.1,42.8,49.8,40.6
119,Female,Hispanic,Low,Public,College Prep,.28,1.19,1,1,56.4,59.3,38.5,55.3,56.8
120,Female,Hispanic,Low,Public,Technical/Vocational,-1.33,-.26,.67,15,38.4,37.2,33.4,30.9,36.9
121,Male,Hispanic,Medium,Public,College Prep,.49,.94,1,9,49.5,39.8,44.5,55.3,55.6
122,Female,Hispanic,Low,Public,College Prep,.1,.32,.67,9,40,40.4,42.4,48.8,60.5
123,Female,Hispanic,Medium,Public,Standard,1.11,-1.05,.33,9,70.7,67.1,63,63.4,65.5
124,Female,Hispanic,Medium,Public,Technical/Vocational,.22,-.76,.67,16,45.8,52.1,54.9,44.4,55.6
125,Female,Hispanic,High,Public,Standard,.75,-.72,.67,14,42.6,46.3,41.2,28.2,45.6
126,Male,Hispanic,Medium,Public,College Prep,.89,.15,.67,10,68,59.3,56.6,50.4,60.5
127,Female,Hispanic,Low,Public,College Prep,-.49,.03,0,8,46.9,37.2,42.8,41.7,45.6
128,Male,Hispanic,Medium,Public,College Prep,.49,.44,.67,10,53.7,43.7,51.1,52,43.1
129,Male,Hispanic,Medium,Public,Technical/Vocational,-.38,.34,.67,7,38.9,28.1,35.3,39,40.6
130,Female,Hispanic,Low,Public,Technical/Vocational,-.6,.9,.67,1,46.9,61.9,45.4,33.6,45.6
131,Female,Hispanic,Medium,Public,College Prep,1.36,.65,.67,10,59,56.7,52.9,48.8,56.8
132,Female,Hispanic,Low,Public,College Prep,-.24,-.16,.33,16,62.7,61.9,52.4,47.1,60.5
133,Female,Hispanic,Low,Public,Technical/Vocational,-.23,.44,.33,14,33.6,35.2,40.9,29.3,25.7
134,Female,Hispanic,Medium,Public,College Prep,.51,-1.29,.33,1,39.4,41.7,46.9,35.2,50.6
135,Male,Hispanic,Medium,Public,Technical/Vocational,-.6,-1.43,1,10,38.9,51.5,38.6,39,35.6
136,Female,Hispanic,Low,Public,College Prep,.06,.94,.67,9,45.3,54.7,44.3,33.6,40.6
137,Male,Hispanic,Medium,Public,College Prep,-.37,-1.9,.67,6,54.8,36.5,37.7,49.8,60.5
138,Male,Hispanic,Medium,Public,College Prep,.46,.94,.33,5,36.3,30.7,44.8,39.6,40.6
139,Female,Hispanic,Low,Public,College Prep,.44,.65,1,8,46.9,46.3,48.5,32.5,40.6
140,Female,Hispanic,Low,Public,Technical/Vocational,.1,1.19,1,15,38.9,35.9,46.8,39,40.6
141,Male,Hispanic,Medium,Public,Technical/Vocational,-2.23,1.19,1,8,36.3,38.5,39.3,39,45.6
142,Male,Hispanic,Medium,Public,College Prep,1.13,.87,1,10,57.4,54.7,51.7,49.8,50.6
143,Male,Hispanic,Medium,Public,College Prep,.26,1.19,1,9,52.1,52.8,37.6,52.6,50.6
144,Female,Hispanic,Low,Public,Standard,-.04,-.29,.67,10,41.6,38.5,40.2,33.6,45.6
145,Male,Hispanic,High,Public,Technical/Vocational,.69,.03,.67,9,49.5,39.8,38.6,49.3,46.8
146,Female,Hispanic,Low,Public,Standard,-1.76,-.93,.67,6,36.3,38.5,36.4,36.3,50.6
147,Male,Hispanic,High,Public,Technical/Vocational,-.66,-.08,1,12,44.7,33.3,33.7,39,35.6
148,Male,Hispanic,Medium,Public,Standard,-.44,-.31,.67,9,49.5,59.3,42.1,52.6,60.5
149,Male,Hispanic,Low,Public,College Prep,1.16,1.19,.33,9,55.3,46.9,49.1,54.2,51.8
150,Female,Hispanic,Medium,Public,College Prep,.91,-.28,1,7,60.1,67.1,56.2,37.4,50.6
151,Female,Hispanic,High,Public,Standard,.75,-.26,.67,15,41.6,35.9,42,31.4,39.4
152,Male,Hispanic,Medium,Public,College Prep,-1.14,-.06,1,6,36.3,46.3,36.9,41.7,35.6
153,Female,Hispanic,Medium,Public,Standard,.46,.03,1,14,52.1,56.7,62.8,47.1,60.5
154,Female,Hispanic,Low,Public,College Prep,.45,.03,1,1,49.5,46.3,52.9,52.6,65.5
155,Female,Hispanic,Low,Public,Technical/Vocational,-.54,-.59,1,4,38.9,35.9,38.4,33.6,35.6
156,Male,Hispanic,High,Public,Technical/Vocational,-.42,-.6,1,14,54.8,56.7,64.7,58,60.5
157,Male,Hispanic,Medium,Public,Technical/Vocational,-.38,.56,1,2,33.6,36.5,45.7,39,30.6
158,Female,Hispanic,Low,Public,Standard,1.16,.59,1,10,36.3,45,44.3,39,40.6
159,Male,Hispanic,Low,Public,Standard,-.68,.32,.67,9,36.3,44.3,34.4,47.1,45.6
160,Female,Hispanic,Low,Private,Standard,.7,.87,1,1,46.9,54.1,46.4,49.8,55.6
161,Female,Hispanic,Medium,Private,College Prep,.48,.63,1,10,54.8,48.2,58.7,51.5,45.6
162,Female,Hispanic,High,Private,College Prep,-.4,-1.8,.33,1,50,45,42.9,41.7,45.6
163,Female,Hispanic,Medium,Private,College Prep,.66,0,1,10,52.1,48.9,48.5,44.4,60.5
164,Male,White,High,Public,College Prep,.06,.03,1,9,62.7,64.5,71.3,55.3,70.5
165,Male,White,Low,Public,Technical/Vocational,.46,-1.17,.33,5,46.9,30.7,40.3,58,35.6
166,Male,White,Medium,Public,Technical/Vocational,-.4,.88,.33,3,54.8,45,45.9,58,50.6
167,Female,White,High,Public,College Prep,.06,.03,.67,10,54.8,54.1,47.1,49.8,50.6
168,Female,White,Medium,Public,Standard,-.69,-1.13,.67,1,46.9,54.1,45.4,44.4,45.6
169,Female,White,Medium,Public,College Prep,1.16,1.19,1,10,70.7,64.5,72.2,66.1,55.6
170,Male,White,Low,Public,Standard,.3,-.59,1,16,54.8,46.3,45.5,58,60.5
171,Female,White,Medium,Public,College Prep,.08,.59,1,9,57.4,56.7,53.9,60.7,60.5
172,Male,White,Medium,Public,Technical/Vocational,-1.3,.03,1,7,54.8,41.1,40.2,44.4,40.6
173,Female,White,Low,Public,Standard,-.61,.03,.33,11,44.2,54.1,40.3,52.6,40.6
174,Male,White,Medium,Public,College Prep,-.16,.65,1,7,68,61.9,69.7,71.5,60.5
175,Female,White,Medium,Public,College Prep,1.16,.65,1,1,65.4,67.1,63.1,55.3,70.5
176,Female,White,High,Public,Standard,.91,.65,.33,11,54.8,48.9,41.9,52.6,55.6
177,Male,White,Medium,Public,College Prep,.68,.03,.67,10,71.2,63.2,60.2,65.5,65.5
178,Male,White,Medium,Public,College Prep,.06,-.29,.67,3,57.4,64.5,51.1,63.4,60.5
179,Female,White,Medium,Public,College Prep,1.16,.03,1,6,70.7,67.1,61.2,60.7,70.5
180,Female,White,Medium,Public,Technical/Vocational,-.59,.03,.33,14,33.6,54.1,41,41.7,50.6
181,Female,White,High,Public,College Prep,1.13,.87,1,10,76,62.5,60,67.2,65.5
182,Male,White,High,Public,College Prep,.42,.56,.67,17,70.7,56,62,67.7,63
183,Female,White,Low,Public,College Prep,1.16,.63,.67,13,58.5,54.1,46.3,48.2,53.1
184,Male,White,High,Public,Standard,1.16,-.81,.67,9,65.4,64.5,48,63.4,65.5
185,Female,White,Medium,Public,Standard,.45,.56,1,5,52.1,43.7,41.9,47.1,45.6
186,Male,White,Medium,Public,Technical/Vocational,-.16,-.53,.67,5,62.7,61.9,67,66.1,45.6
187,Female,White,Low,Public,Standard,.68,-.6,.33,14,52.1,64.5,59.7,55.8,50.6
188,Female,White,High,Public,College Prep,.06,.03,1,10,41.6,54.1,41.2,41.7,40.6
189,Female,White,High,Public,College Prep,1.11,.9,.33,6,62.7,64.5,61.4,58,60.5
190,Female,White,High,Public,Technical/Vocational,-.41,.03,.67,15,49.5,51.5,45.1,58,35.6
191,Male,White,High,Public,College Prep,.49,.94,1,16,54.8,56.7,63.8,60.7,65.5
192,Female,White,Medium,Public,College Prep,.67,.03,.67,9,52.1,56.7,51.1,55.3,55.6
193,Female,White,Medium,Public,College Prep,.51,.03,1,14,54.8,54.1,66.4,41.7,55.6
194,Male,White,High,Public,Standard,-.84,.34,0,10,41.6,46.3,59.6,63.4,65.5
195,Male,White,High,Public,College Prep,.27,.03,1,10,60.1,51.5,48.1,52.6,55.6
196,Female,White,Medium,Public,Technical/Vocational,.06,.03,1,1,68,61.9,55.5,49.8,50.6
197,Female,White,Low,Public,Technical/Vocational,-1.15,-1.38,1,17,49.5,56.7,46.1,53.6,40.6
198,Female,White,Medium,Public,College Prep,.66,-.47,.67,9,54.8,59.3,50.6,60.7,50.6
199,Male,White,Low,Public,Technical/Vocational,-.82,.63,1,12,36.8,36.5,41.5,33.1,31.9
200,Male,White,High,Public,College Prep,-.27,.88,1,13,52.1,64.5,60.6,60.7,45.6
201,Female,White,Medium,Public,Technical/Vocational,.31,.63,1,1,38.9,56.7,46.3,58,55.6
202,Male,White,Medium,Public,College Prep,1.13,-.6,.67,16,73.3,67.1,71.3,63.4,65.5
203,Female,White,Medium,Public,College Prep,-.44,-.78,1,10,58,48.9,43.8,44.4,65.5
204,Female,White,Medium,Public,College Prep,.44,.03,1,9,55.3,51.5,48,58,65.5
205,Female,White,Low,Public,Technical/Vocational,-.9,-2.54,0,4,44.2,43.7,40.2,39.6,30.6
206,Female,White,Low,Public,Technical/Vocational,-.18,.28,.33,4,44.2,51.5,46.1,47.1,50.6
207,Female,White,Medium,Public,Standard,1.11,.9,.33,4,55.3,50.2,41.7,58.5,55.6
208,Male,White,Low,Public,Standard,.05,-.6,0,8,57.4,51.5,40.6,46.6,56.8
209,Female,White,Medium,Public,Standard,-.63,.44,.33,4,41.6,43.7,46.8,36.3,50.6
210,Female,White,Medium,Public,Standard,.06,.03,1,9,54.8,59.3,46.2,47.1,65.5
211,Female,White,Medium,Public,Standard,.71,-.29,.67,9,57.4,61.9,55.5,58,65.5
212,Male,White,Medium,Public,Standard,.26,.03,1,2,57.4,51.5,55.3,60.7,60.5
213,Female,White,Low,Public,Standard,.04,-.47,.67,1,33.6,59.3,44.7,47.1,45.6
214,Female,White,Medium,Public,Technical/Vocational,-1.81,-.64,1,15,41.6,54.1,46.9,47.1,45.6
215,Female,White,Medium,Public,College Prep,-.4,-.22,.67,9,52.1,38.5,36.1,44.4,45.6
216,Female,White,High,Public,College Prep,.68,.03,1,13,65.4,67.1,64.5,60.7,70.5
217,Female,White,Medium,Public,College Prep,0,-.42,.67,11,49.5,51.5,52.9,39,55.6
218,Female,White,Medium,Public,Technical/Vocational,.46,.03,1,1,57.4,67.1,47.7,55.8,50.6
219,Female,White,Medium,Public,Technical/Vocational,.1,.03,.33,6,49.5,56.7,48,47.1,60.5
220,Female,White,Medium,Public,College Prep,.66,.34,1,4,56.9,49.5,49.5,50.9,58.1
221,Male,White,Low,Public,Standard,-.36,-1.67,1,3,44.2,43.7,56.4,58,60.5
222,Male,White,High,Public,Standard,.93,.34,1,10,46.9,54.1,54.6,55.3,50.6
223,Male,White,Medium,Public,Technical/Vocational,.48,.03,1,10,60.1,46.3,51.4,52.6,60.5
224,Female,White,Medium,Public,Standard,-1.15,-.47,.67,4,44.2,56.7,52.2,44.4,55.6
225,Male,White,Medium,Public,College Prep,.89,.59,.67,6,60.6,56.7,70.5,58,65.5
226,Male,White,High,Public,College Prep,.49,1.19,1,10,46.9,51.5,50.6,49.8,55.6
227,Male,White,Medium,Public,College Prep,.44,.65,1,3,52.1,54.1,54.6,41.7,55.6
228,Female,White,Medium,Public,College Prep,0,-.82,.67,10,54.8,67.1,63.8,49.8,50.6
229,Female,White,Low,Public,College Prep,.91,.03,1,1,60.6,59.3,49.4,44.4,65.5
230,Female,White,High,Public,Standard,-.2,1.19,1,15,41.6,46.9,41.7,47.1,60.5
231,Female,White,Low,Public,Standard,0,-1.09,.67,9,62.7,51.5,45.9,47.1,45.6
232,Female,White,Medium,Public,College Prep,.2,-.47,.33,11,38.9,54.1,53.7,52.6,40.6
233,Female,White,Medium,Public,Technical/Vocational,.06,.03,.67,15,62.7,61.9,58.8,60.7,60.5
234,Female,White,High,Public,College Prep,.96,.87,1,9,57.4,64.5,48,47.1,50.6
235,Female,White,Medium,Public,College Prep,.2,-.55,.67,9,60.1,61.9,48.7,49.8,50.6
236,Male,White,Medium,Public,College Prep,.08,.94,.67,10,73.3,61.9,60.5,71.5,55.6
237,Male,White,Medium,Public,College Prep,1.36,-.8,.67,13,52.1,59.3,59.6,59.1,40.6
238,Male,White,High,Public,College Prep,.46,.94,1,10,65.4,61.9,67.9,66.1,65.5
239,Female,White,Low,Public,Technical/Vocational,-.84,-.18,0,1,33.6,46.3,38.4,36.3,45.6
240,Male,White,Medium,Public,College Prep,.46,.03,.67,9,62.7,54.1,54.8,55.3,65.5
241,Male,White,Low,Public,College Prep,.48,.69,.67,16,62.7,43,58.9,65,44.3
242,Male,White,High,Public,College Prep,.75,1.19,1,10,68,61.9,52.2,60.7,65.5
243,Female,White,Medium,Public,College Prep,-.4,.03,0,1,54.8,49.5,55.3,47.1,51.8
244,Female,White,High,Public,College Prep,.71,.34,.67,9,68,61.9,64.5,68.8,60.5
245,Male,White,Medium,Public,Standard,.46,.34,.67,9,62.2,56.7,51.9,54.7,58.1
246,Female,White,Medium,Public,Technical/Vocational,.43,-.47,1,1,42.6,50.8,44.6,39,55.6
247,Female,White,Medium,Public,Technical/Vocational,.46,-.47,0,9,49.5,61.9,41.4,55.3,30.6
248,Male,White,Medium,Public,Standard,-.49,.03,.33,9,65.4,59.3,56.8,66.1,60.5
249,Female,White,Medium,Public,College Prep,-1.56,.03,.33,15,62.7,54.1,53,55.3,45.6
250,Male,White,Medium,Public,Standard,-.17,-.84,.67,15,62.7,56.7,54.3,58,50.6
251,Male,White,High,Public,Standard,.66,.34,1,7,60.1,51.5,53,63.4,55.6
252,Female,White,Low,Public,College Prep,.48,.32,1,14,49.5,54.1,38.7,49.8,50.6
253,Male,White,Medium,Public,Standard,-.14,-.24,.67,9,54.8,38.5,57,52.6,45.6
254,Female,White,High,Public,College Prep,.48,-.47,.33,9,52.1,61.9,55.5,60.7,60.5
255,Male,White,Medium,Public,College Prep,-1.13,-.55,.33,12,44.2,46.9,45.5,39,50.6
256,Male,White,High,Public,Standard,.06,.03,0,10,44.2,33.3,53.9,58,30.6
257,Male,White,Medium,Public,Standard,.2,-.47,.33,3,38.9,38.5,53,52.6,50.6
258,Female,White,Medium,Public,Technical/Vocational,-.64,-.51,.67,4,49.5,56.7,47.7,44.4,60.5
259,Female,White,Medium,Public,Standard,.23,.44,1,2,49.5,51.5,45.5,49.8,55.6
260,Female,White,Medium,Public,College Prep,.1,1.19,1,9,52.1,56.7,62.3,66.1,70.5
261,Male,White,Medium,Public,Technical/Vocational,.28,.03,1,9,54.8,59.3,49.5,63.4,56.8
262,Female,White,High,Public,College Prep,.52,.59,1,9,68,59.9,64,68.8,65.5
263,Male,White,Medium,Public,College Prep,.46,.03,.67,8,54.8,64.5,58.6,55.3,60.5
264,Female,White,Low,Public,Standard,-.8,.15,.33,15,41.6,41.1,39.5,47.1,60.5
265,Female,White,Low,Public,Technical/Vocational,-1.33,-.6,.33,1,34.7,35.2,40.2,50.9,33.1
266,Female,White,Low,Public,Standard,-1.33,.34,0,4,44.2,41.1,36.9,41.7,45.6
267,Male,White,High,Public,College Prep,.68,.34,1,16,57.4,56.7,62.8,58,50.6
268,Female,White,High,Public,College Prep,.46,-.55,.33,10,41.6,54.1,50.3,49.8,51.8
269,Male,White,Medium,Public,Technical/Vocational,-.44,-.22,0,2,44.2,33.3,40.9,47.1,45.6
270,Female,White,Medium,Public,College Prep,.23,-.76,1,9,65.4,64.5,59.6,66.1,60.5
271,Female,White,High,Public,Technical/Vocational,.29,.03,1,4,49.5,48.9,56.2,47.1,45.6
